NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,30,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10,20,0,5,10,0,NA,NA
NA,NA,NA,NA,NA,0,0,0,0,0,0,0,10,0,40,0,5,0,20,NA
NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,20,20,0,5,0,0,90,NA
NA,NA,NA,0,0,0,0,0,0,,NA,0,0,0,0,0,30,30,0,NA
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,20,0,NA
NA,NA,0,0,0,0,0,0,20,30,0,0,NA,NA,NA,NA,NA,0,NA,NA
NA,NA,0,0,0,20,0,20,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,NA,20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,0,30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
