NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,10,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10,20,0,0,50,40,NA,NA
NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,30,20,0,0,100,0,NA
NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,50,50,0,0,0,35,0,NA
NA,NA,NA,0,0,0,0,0,0,,NA,0,0,0,0,0,0,0,0,NA
NA,NA,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,NA
NA,NA,0,0,0,0,0,40,40,0,0,0,NA,NA,NA,NA,NA,0,NA,NA
NA,NA,0,0,0,0,0,0,0,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,NA,30,10,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,10,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
